"neighborhood","dow","source","request_type","responsible_agency","request_details","count"
"Inner Sunset","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"Inner Sunset","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",2
"Inner Sunset","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Inner Sunset","Sat","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",12
"Inner Sunset","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",7
"Inner Sunset","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",2
"Inner Sunset","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"Inner Sunset","Sat","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"Marina","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",8
"Marina","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",2
"Marina","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Marina","Sun","Open311","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Marina","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",24
"Marina","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",10
"Marina","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Marina","Sun","Voice In","Sidewalk_Cleaning","DPW BSM Queue","Sidewalk_Cleaning",1
"Marina","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"Marina","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",9
"Marina","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",4
"Marina","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",3
"Marina","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Marina","Mon","Twitter","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Marina","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",13
"Marina","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",9
"Marina","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",6
"Marina","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Marina","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",6
"Marina","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",9
"Marina","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",1
"Marina","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"Marina","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",12
"Marina","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"Marina","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",7
"Marina","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Marina","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"Marina","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",7
"Marina","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",6
"Marina","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Marina","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",7
"Marina","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",13
"Marina","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Marina","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"Marina","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"Marina","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",7
"Marina","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",2
"Marina","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",10
"Marina","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",6
"Marina","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",5
"Marina","Thurs","Voice In","Sidewalk_Cleaning","DPW BSM Queue","Sidewalk_Cleaning",1
"Marina","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"Marina","Thurs","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Marina","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",3
"Marina","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Marina","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Marina","Fri","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",11
"Marina","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",5
"Marina","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",3
"Marina","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Marina","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"Marina","Fri","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"Marina","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",5
"Marina","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",3
"Marina","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Marina","Sat","Twitter","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Marina","Sat","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",11
"Marina","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",7
"Marina","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",3
"Marina","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"Marina","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"Mission","Sun","Integrated Agency","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Mission","Sun","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",3
"Mission","Sun","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Mission","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",15
"Mission","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",38
"Mission","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",8
"Mission","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"Mission","Sun","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"Mission","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",71
"Mission","Sun","Voice In","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Mission","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",33
"Mission","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",10
"Mission","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",7
"Mission","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",24
"Mission","Mon","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Mission","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",30
"Mission","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",57
"Mission","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"Mission","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",15
"Mission","Mon","Open311","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"Mission","Mon","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Mission","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",44
"Mission","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",55
"Mission","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",42
"Mission","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",26
"Mission","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",52
"Mission","Mon","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Mission","Tues","Integrated Agency","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Mission","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",15
"Mission","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",27
"Mission","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"Mission","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",15
"Mission","Tues","Twitter","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Mission","Tues","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Mission","Tues","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Mission","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",28
"Mission","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",57
"Mission","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",40
"Mission","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",28
"Mission","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",48
"Mission","Tues","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"Mission","Tues","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"Mission","Wed","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"Mission","Wed","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Mission","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",17
"Mission","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",49
"Mission","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"Mission","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",15
"Mission","Wed","Open311","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Mission","Wed","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Mission","Wed","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Mission","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",17
"Mission","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",48
"Mission","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",49
"Mission","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",19
"Mission","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",56
"Mission","Thurs","Integrated Agency","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Mission","Thurs","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"Mission","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",15
"Mission","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",45
"Mission","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",9
"Mission","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",14
"Mission","Thurs","Twitter","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Mission","Thurs","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Mission","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",23
"Mission","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",41
"Mission","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",52
"Mission","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",22
"Mission","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",51
"Mission","Thurs","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",2
"Mission","Fri","Integrated Agency","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Mission","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",12
"Mission","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",29
"Mission","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",5
"Mission","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",16
"Mission","Fri","Twitter","Illegal_Dumping","Recology_Abandoned","Garbage",1
"Mission","Fri","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",17
"Mission","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",30
"Mission","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",36
"Mission","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",14
"Mission","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",42
"Mission","Fri","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",3
"Mission","Sat","Integrated Agency","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Mission","Sat","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",5
"Mission","Sat","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",2
"Mission","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",14
"Mission","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",24
"Mission","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",4
"Mission","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",10
"Mission","Sat","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Mission","Sat","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Mission","Sat","Twitter","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Mission","Sat","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",107
"Mission","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",37
"Mission","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",18
"Mission","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",14
"Mission","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",32
"Mission","Sat","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Nob Hill","Sun","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Nob Hill","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",5
"Nob Hill","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",22
"Nob Hill","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"Nob Hill","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"Nob Hill","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",30
"Nob Hill","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",11
"Nob Hill","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",9
"Nob Hill","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Nob Hill","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"Nob Hill","Sun","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Nob Hill","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",11
"Nob Hill","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Nob Hill","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"Nob Hill","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",21
"Nob Hill","Mon","Voice In","Illegal_Dumping","DPW Ops Queue","Furniture",1
"Nob Hill","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",27
"Nob Hill","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",2
"Nob Hill","Mon","Voice In","Sidewalk_Cleaning","DPW BSM Queue","Sidewalk_Cleaning",1
"Nob Hill","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"Nob Hill","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",10
"Nob Hill","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",14
"Nob Hill","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",24
"Nob Hill","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"Nob Hill","Tues","Twitter","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Nob Hill","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",16
"Nob Hill","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",13
"Nob Hill","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",18
"Nob Hill","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",6
"Nob Hill","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",13
"Nob Hill","Tues","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"Nob Hill","Wed","Integrated Agency","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Nob Hill","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",5
"Nob Hill","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",15
"Nob Hill","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"Nob Hill","Wed","Twitter","Illegal_Dumping","Recology_Abandoned","Furniture",1
"Nob Hill","Wed","Twitter","Illegal_Dumping","Recology_Abandoned","Garbage",1
"Nob Hill","Wed","Twitter","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Nob Hill","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",21
"Nob Hill","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",12
"Nob Hill","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",17
"Nob Hill","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"Nob Hill","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",14
"Nob Hill","Wed","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"Nob Hill","Thurs","Integrated Agency","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Nob Hill","Thurs","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"Nob Hill","Thurs","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Nob Hill","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",2
"Nob Hill","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",6
"Nob Hill","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"Nob Hill","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",20
"Nob Hill","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",12
"Nob Hill","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",9
"Nob Hill","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Nob Hill","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"Nob Hill","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",6
"Nob Hill","Fri","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Nob Hill","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"Nob Hill","Fri","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"Nob Hill","Fri","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",35
"Nob Hill","Fri","Voice In","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Nob Hill","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",14
"Nob Hill","Fri","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",10
"Nob Hill","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",5
"Nob Hill","Fri","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",13
"Nob Hill","Sat","Integrated Agency","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",1
"Nob Hill","Sat","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"Nob Hill","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",5
"Nob Hill","Sat","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",10
"Nob Hill","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",7
"Nob Hill","Sat","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",9
"Nob Hill","Sat","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",42
"Nob Hill","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",11
"Nob Hill","Sat","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"Nob Hill","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",5
"Nob Hill","Sat","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"Nob Hill","Sat","Voice In","Sidewalk_Cleaning","Recology_Abandoned","Sidewalk_Cleaning",1
"North Beach","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",4
"North Beach","Sun","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",34
"North Beach","Sun","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",7
"North Beach","Sun","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",36
"North Beach","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",4
"North Beach","Sun","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",2
"North Beach","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",3
"North Beach","Sun","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"North Beach","Mon","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"North Beach","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",8
"North Beach","Mon","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",28
"North Beach","Mon","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",10
"North Beach","Mon","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",32
"North Beach","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",11
"North Beach","Mon","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",7
"North Beach","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"North Beach","Mon","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",8
"North Beach","Tues","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",2
"North Beach","Tues","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",2
"North Beach","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",8
"North Beach","Tues","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",21
"North Beach","Tues","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"North Beach","Tues","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",31
"North Beach","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",7
"North Beach","Tues","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"North Beach","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"North Beach","Tues","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",4
"North Beach","Tues","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"North Beach","Wed","Open311","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",15
"North Beach","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",4
"North Beach","Wed","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",17
"North Beach","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"North Beach","Wed","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",3
"North Beach","Wed","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",25
"North Beach","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",8
"North Beach","Wed","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",5
"North Beach","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
"North Beach","Wed","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",5
"North Beach","Wed","Web Self Service","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"North Beach","Thurs","Integrated Agency","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",1
"North Beach","Thurs","Open311","Illegal_Dumping","DPW Ops Queue","Garbage",1
"North Beach","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Furniture",14
"North Beach","Thurs","Open311","Illegal_Dumping","Recology_Abandoned","Garbage",23
"North Beach","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",1
"North Beach","Thurs","Open311","Sidewalk_Cleaning","DPW Ops Queue","Sidewalk_Cleaning",2
"North Beach","Thurs","Voice In","Damaged Parking_Meter","DPT Meter_Bike Queue","Parking_Meter",19
"North Beach","Thurs","Voice In","Damaged Parking_Meter","DPW BSM Queue","Parking_Meter",1
"North Beach","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Furniture",4
"North Beach","Thurs","Voice In","Illegal_Dumping","Recology_Abandoned","Garbage",4
"North Beach","Thurs","Voice In","Sidewalk_Cleaning","DPW Ops Queue","Human_waste_or_urine",2
