"date","SP500"
662688000,0.045125805275313
665366400,0.105998975564193
667785600,0.103783020533035
670464000,0.134643288996372
673056000,0.079173933504969
675734400,0.0367018602312721
678326400,0.0888951284571109
681004800,0.225911458333333
683683200,0.267309263192289
686275200,0.290953947368421
688953600,0.164483892992366
691545600,0.263067046211616
694224000,0.188555810775448
696902400,0.124308714959
699408000,0.0758754863813229
702086400,0.105530985240049
704678400,0.0654644332144783
707356800,0.0996335812048712
709948800,0.0938603955545241
712627200,0.0470374023215234
715305600,0.0771928015263239
717897600,0.0668365396865844
720576000,0.149592239219658
723168000,0.0446426430746363
725846400,0.073389109056216
728524800,0.0743397140780229
730944000,0.118853575763581
733622400,0.0608266056151343
736214400,0.0838810641627543
738892800,0.103861420100946
741484800,0.0563871667334575
744163200,0.119629012390406
746841600,0.0984442316898038
749433600,0.117392758192414
752112000,0.0705691433870406
754704000,0.0705515136214454
757382400,0.0976115593235791
760060800,0.0535883440840814
762480000,-0.0130626342241017
765158400,0.0243531202435312
767750400,0.0140163042271042
770428800,-0.0138947461878232
773020800,0.0226050476424251
775699200,0.0257356113555958
778377600,0.00823655023641945
780969600,0.00966162922429104
783648000,-0.0175404404599494
786240000,-0.0153928609711652
788918400,-0.0232345673885509
791596800,0.0433488889840306
794016000,0.123247414585997
796694400,0.141491650218447
799286400,0.168455640744797
801964800,0.226168771242713
804556800,0.22650896870772
807235200,0.18168626048918
809913600,0.263015711784919
812505600,0.231078649306658
815184000,0.33432520002645
817776000,0.341106538637403
820454400,0.352025849241104
823132800,0.313999056197296
825638400,0.289169379481137
828316800,0.270948689553341
830908800,0.254443194600675
833587200,0.231078476365305
836179200,0.138579511084226
838857600,0.160372321492134
841536000,0.176109238377167
844128000,0.212846087704213
846806400,0.25050795381337
849398400,0.202636663257188
852076800,0.23606175906418
854755200,0.234826600877535
857174400,0.172920216886135
859852800,0.224972102052983
862444800,0.267754662840746
865123200,0.319863412015567
867715200,0.491225877021642
870393600,0.379576373870765
873072000,0.378202610099952
875664000,0.296836672480043
878342400,0.262053842699004
880934400,0.31008181008181
883612800,0.246921746209423
886291200,0.32690119116866
888710400,0.45518543956044
891388800,0.387363665859685
893980800,0.285919743480926
896659200,0.280972501525182
899251200,0.174324904905115
901929600,0.0642711819182407
904608000,0.0736107592264168
907200000,0.201231112374538
909878400,0.21795059660875
912470400,0.266685902125862
915148800,0.305382135716326
917827200,0.180103684220558
920246400,0.167569775357386
922924800,0.200971441421183
925516800,0.193450798481876
928195200,0.210673463628025
930787200,0.185647871362667
933465600,0.379335199732576
936144000,0.261256034847248
938736000,0.240527182866557
941414400,0.19360105875579
944006400,0.195260447597276
946684800,0.0897283611015598
949363200,0.103437694314117
951868800,0.164968088497089
954547200,0.0878158750131068
957139200,0.091224728077183
959817600,0.0596557175222734
962409600,0.0768483954482508
965088000,0.14940056497603
967766400,0.119902394149886
970358400,0.0487699294901425
973036800,-0.053250390594063
